,Title,Year,Authors,Journal,Journal Acronym
0,ABLE-NeRF: Attention-Based Rendering with Learnable Embeddings for Neural Radiance Field.,2023,"Zhe Jun Tang, Tat-Jen Cham, Haiyu Zhao", CVPR 2023: 16559-16568,cvpr
1,Unified Discrete Diffusion for Simultaneous Vision-Language Generation.,2023,"Minghui Hu, Chuanxia Zheng, Zuopeng Yang, Tat-Jen Cham, Heliang Zheng, Chaoyue Wang, Dacheng Tao, Ponnuthurai N. Suganthan", ICLR 2023,iclr
2,ABLE-NeRF: Attention-Based Rendering with Learnable Embeddings for Neural Radiance Field.,2023,"Zhe Jun Tang, Tat-Jen Cham, Haiyu Zhao",13817 ,corr
3,Explicit Correspondence Matching for Generalizable Neural Radiance Fields.,2023,"Yuedong Chen, Haofei Xu, Qianyi Wu, Chuanxia Zheng, Tat-Jen Cham, Jianfei Cai",12294 ,corr
4,Cocktail: Mixing Multi-Modality Controls for Text-Conditional Image Generation.,2023,"Minghui Hu, Jianbin Zheng, Daqing Liu, Chuanxia Zheng, Chaoyue Wang, Dacheng Tao, Tat-Jen Cham",00964 ,corr
5,IPO-LDM: Depth-aided 360-degree Indoor RGB Panorama Outpainting via Latent Diffusion Model.,2023,"Tianhao Wu, Chuanxia Zheng, Tat-Jen Cham",03177 ,corr
6,GeoConv: Geodesic guided convolution for facial action unit recognition.,2022,"Yuedong Chen, Guoxian Song, Zhiwen Shao, Jianfei Cai, Tat-Jen Cham, Jianmin Zheng", 122: 108355 ,pr
7,Unconstrained Facial Action Unit Detection via Latent Feature Domain.,2022,"Zhiwen Shao, Jianfei Cai, Tat-Jen Cham, Xuequan Lu, Lizhuang Ma", 13: 1111-1126 ,taffco
8,Global Context with Discrete Diffusion in Vector Quantised Modelling for Image Generation.,2022,"Minghui Hu, Yujie Wang, Tat-Jen Cham, Jianfei Yang, Ponnuthurai N. Suganthan", CVPR 2022: 11492-11501,cvpr
9,Bridging Global Context Interactions for High-Fidelity Image Completion.,2022,"Chuanxia Zheng, Tat-Jen Cham, Jianfei Cai, Dinh Q. Phung", CVPR 2022: 11502-11512,cvpr
